category,ms_rule_id,rule_id,status,is_ignoreable,description,notes
Performance,,SRP0001,Done,No,Views should not use other views as a data source,Views that use other views in their from cause are extremely inefficient and will result in non-optimal execution plans. 
Performance,,SRP0002,Done,Yes,Avoid using patterns that start with '%' with the LIKE keyword  (Sargeable),"This rule checks for usage of wildcard characters at the beginning of a word while searching using the LIKE keyword. Usage of wildcard characters at the beginning of a LIKE pattern results in an index scan, which defeats the purpose of an index."
Performance,,SRP0003,Done,Yes,Avoid using DISTINCT keyword inside of aggregate functions.,The rule checks all aggregate functions (except MIN and MAX) for using the DISTINCT keyword. The using DISTINCT in aggregate function can often cause significant performance degradation especially when used multiple times or with other aggregate functions in the same select.
Performance,,SRP0004,Done,Yes,Avoid returning results in triggers.,This rule scans triggers to ensure they do not send data back to the caller. Applications that modify tables or views with triggers do not necessarily expect results to be returned as part of the modification operation. For this reason it is not recommended to return results from within triggers.
Performance,,SRP0005,Done,Yes,SET NOCOUNT ON is recommended to be enabled in stored procedures and triggers,"This rule scans triggers and stored procedures to ensure they SET NOCOUNT to ON at the beginning. Use SET NOCOUNT ON at the beginning of your SQL batches, stored procedures and triggers in production environments, as this prevents the sending of DONE_IN_PROC messages and suppresses messages like '(1 row(s) affected)' to the client for each statement in a stored procedure. For stored procedures that contain several statements that do not return much actual data, setting SET NOCOUNT to ON can provide a significant performance boost, because network traffic is greatly reduced."
Performance,,SRP0006,Done,Yes,"Avoid using not equal operator (<>,!=) in the WHERE clause.  (Sargeable)","The rule checks for usage of the not equal operator in the WHERE clause as it result table and index scans. Consider replacing the not equal operator with equals (=) or inequality operators (>,>=,<,<=) if possible."
Performance,,SRP0007,Done,No,Local cursor not closed,"The rule checks if any local cursor is closed until the end of the batch. Because when open, the cursor still holds locks on referred-to-tables or views, you should explicitly close it as soon as it is no longer needed."
Performance,,SRP0008,Done,No,Local cursor not explicitly deallocated,
Performance,,SRP0009,Done,Yes,Avoid wrapping columns within a function in the WHERE clause. (Sargeable),"When a WHERE clause column is wrapped inside a function, the query optimizer does not see the column and if an index exists on the column, the index will not to be used."
Performance,,SRP0010,Done,Yes,Avoid the use of functions with UPDATE / INSERT  / DELETE statements. (Halloween Protection),When a user defined function that does not use SCHEMABINDING is used in an action query the data modifications have to be spooled to tempdb in a two step operation. 
Performance,,SRP0011,Done,Yes,Avoid using NOT IN predicate in the WHERE clause.,"Using NOT IN predicate in the WHERE clause generally performs badly, because the SQL Server optimizer has to use a TABLE SCAN instead of an INDEX SEEK even the filtering columns are covered by index."
Performance,,SRP0012,Done,Yes,Consider indexing the columns referenced by IN predicates in order to avoid table scans.,Consider indexing the columns referenced by IN predicates in order to avoid table scans
Performance,,SRP0013,Done,Yes,Consider replacing the OUTER JOIN with EXISTS,"The rule checks for OUTER JOIN-s which could be replaced with EXISTS. Prefer use of EXISTS keyword for existence checks, unless performance issues are encountered. In these cases, it is better to resort to using a LEFT JOIN and null check. The traditional method of checking for row existence is to use a LEFT JOIN and checking the nullability of a LEFT JOIN'ed column in the WHERE clause. The problem with this method is that SQL Server needs to load all of the rows from the OUTER JOIN'ed table. In cases where the matched rows are significantly less than the total rows, it is unnecessary work for SQL Server. Another method of checking for existence is using the EXISTS predicate function. This is preferably to the LEFT JOIN method, since it allows SQL Server to find a row and quit (using a row count spool), avoiding unnecessary row loading."
Performance,,SRP0014,Done,Yes,Avoid the use of table variables in join clauses,"- Execution plan choices may not be optimal or stable when a table variable contains a large amount of data ( above 100 rows).
- Table variables are not supported in the SQL Server optimizer's cost-based reasoning model. Therefore, they should not be used when cost-based choices are required to achieve an efficient query plan. Temporary tables are preferred when cost-based choices are required. This typically includes queries with joins, parallelism decisions, and index selection choices.
- Queries that modify table variables do not generate parallel query execution plans. Performance can be affected when very large table variables, or table variables in complex queries, are modified. In these situations, consider using temporary tables instead. Queries that read table variables without modifying them can still be parallelized.
- Indexes cannot be created explicitly on table variables, and no statistics are kept on table variables. In some cases, performance may improve by using temporary tables instead, which support indexes and statistics.
- CHECK constraints, DEFAULT values and computed columns in the table type declaration cannot call user-defined functions.
- Assignment operation between table variables is not supported.
- Because table variables have limited scope and are not part of the persistent database, they are not affected by transaction rollbacks.
- Table variables cannot be altered after creation.2:21"
Performance,,SRP0015,Done,Yes,Avoid the use of calculations on columns in the where clause. (Sargeable),"When a filtering WHERE clause column used in a calculation, the query optimizer does not see the column and if an index exists on the column, the index most likely will not to be used."
Performance,,SRP0016,Done,No,Data types on both sides of an equality check should be the same in the where clause.  (Sargeable),"When fields of different data types are joined on or compared, if they are not the same data type, one type will be implicitly converted to the other type. Implicit conversion can lead to data truncation and to performance issues appears in query filter."
Performance,,SRP0017,Done,Yes,Avoid updating columns that are part of the primary key.  (Halloween Protection),"- Halloween protection will be invoked causing the data being updated to be done in a two step operation that spools to tempdb.
- All the foreign keys that reference the updated key have to be also updated. If the foreign keys are indexed, it will cause their indexes to be also updated, which can be an expensive operation. Otherwise, if no index exists for foreign key columns, a table lock will be applied.
- When the table has Change Tracking enabled, the values of the primary key column identify the rows that have been changed and this is the only information from the tracked table that is recorded with the change information. If the synchronization of the changed data is implemented based on the Change Tracking, it will fail because of the modified primary key column values.
- If this key is referenced in any external system the reference will be broken upon update.
- The primary keys are usually clustered. Updating the table's clustered index will cause also update of the existing non-clustered indexes."
Performance,,SRP0018,Done,No,Query uses a high number of joins. ,Queries that use a high number of joins will cause the compiler to time out trying to find a good execution plan. Consider re-arranging the tables in the joins from smallest to largest table and applying the FORCE ORDER query hint. 
Performance,SR0009,SRP0019,Done,No,Use of very small variable length type (size 1 or 2),This rule checks for use of very small variable length type (with size of 1 or 2). It is recommended to use fixed length data type when size is less than 3. Variable length type with size less than 3 consumes more space than the same fixed length type.
Performance,,SRP0020,Done,No,Table does not have a clustered index,
Performance,,SRP0021,Done,Yes,Avoid modification of parameters in a stored procedure prior to use in a select query,"For best query performance, in some situations you'll need to avoid assigning a new value to a parameter of a stored procedure within the procedure body, and then using the parameter value in a query. The stored procedure and all queries in it are initially compiled with the parameter value first passed in as a parameter to the query."
Performance,,SRP0022,Done,No,Consider using RECOMPILE query hint instead of WITH RECOMPILE option,The rule checks that stored procedures do not use WITH RECOMPILE procedure option. The OPTION(RECOMPILE) is the preferred method when a recompile is needed. The WITH RECOMPILE procedure option instructs the Database Engine does not cache a plan for this procedure and the procedure is compiled at run time.
Performance,,SRP0023,Done,No,When checking for existence use EXISTS instead of COUNT,COUNT will iterate through every row in the table before returning the result whereas EXISTS will stop as soon as records are found.
Performance,,SRP0024,Done,Yes,Avoid the use of correlated subqueries except for very small tables,https://en.wikipedia.org/wiki/Correlated_subquery
Design,,SRD0001,Done,No,Tables should have a natural key,
Design,,SRD0002,Done,No,Tables should have a primary key,
Design,,SRD0003,Done,No,Primary Keys should avoid using GUIDS or wide VARCHAR columns,"Consider moving the clustered index to a different column or consider using NewSequentialId() system function for generating sequential unique identifiers. The native uniqueidentifier, and large varchar data types are not suitable for clustered indexing, because they cause terrible page splits because their values can be completely random."
Design,,SRD0004,Done,No,Columns on both sides of a foreign key should be indexed.,"The rule checks for not indexed foreign keys in the current database. Create an index on any foreign key as the foreign keys are used in joins almost always benefit from having an index. It is better to create indexes on all foreign keys, despite the possible overhead of maintaining unneeded indexes than not to have index when needed."
Design,,SRD0005,Done,No,Avoid the char column type except for short static length data,"Usage of the char column datatype for lengthy variable type data can cause extra storage to be needed, and for extra processing to remove trailing whitespace."
Design,SR0001,SRD0006,Done,Yes,Avoid select *,"This rule checks stored procedures, functions, views and triggers for use of '*' in column lists of SELECT statements. Though use of '*' is convenient, it may lead to less maintainable applications. Changes to table or view definitions may cause errors or performance decrease. Using the proper column names takes less load on the database, decreases network traffic and hence can greatly improve performance."
